,eng,l33t
0,A,4
1,A,/-\
2,A,/\
3,A,@
4,B,|3
5,B,8
6,B,|o
7,C,(
8,C,<
9,C,K
10,C,S
11,D,|)
12,D,o|
13,D,|>
14,D,<|
15,E,3
16,E,[-
17,F,|=
18,F,ph
19,G,9
20,G,6
21,G,C-
22,H,|-|
23,H,]-[
24,H,}-{
25,H,(-)
26,H,)-(
27,H,#
28,I,l
29,I,1
30,I,|
31,I,!
32,I,][
33,J,_|
34,J,_/
35,J,_)
36,K,|<
37,K,/<
38,K,\<
39,K,|{
40,L,|_
41,L,|
42,L,1
43,M,|\/|
44,M,/\/\
45,M,|'|'|
46,M,(\/)
47,M,/\\
48,M,/|\
49,M,/v\
50,N,|\|
51,N,/\/
52,N,//\\//
53,N,]\[
54,O,0
55,O,()
56,O,[]
57,O,{}
58,P,|2
59,P,|D
60,Q,(
61,Q,)
62,Q,kw
63,R,|2
64,R,|Z
65,R,|?
66,S,5
67,S,$
68,T,+
69,T,']['
70,T,7
71,U,|_|
72,U,(_)
73,U,[_]
74,U,\_/
75,U,\_\
76,U,/_/
77,U,00
78,V,|/
79,V,\|
80,V,\/
81,V,/
82,W,\/\/
83,W,\|\|
84,W,|/|/
85,W,\|/
86,W,\^/
87,W,//
88,X,><
89,X,}{
90,Y,`/
91,Y,'/
92,Y,j
93,Z,2
94,Z,(\)
95,A,4
96,A,/-\
97,A,/\
98,A,@
99,B,|3
100,B,8
101,B,|o
102,C,(
103,C,<
104,C,K
105,C,S
106,D,|)
107,D,o|
108,D,|>
109,D,<|
110,E,3
111,E,[-
112,F,|=
113,F,ph
114,G,9
115,G,6
116,G,C-
117,H,|-|
118,H,]-[
119,H,}-{
120,H,(-)
121,H,)-(
122,H,#
123,I,l
124,I,1
125,I,|
126,I,!
127,I,][
128,J,_|
129,J,_/
130,J,_)
131,K,|<
132,K,/<
133,K,\<
134,K,|{
135,L,|_
136,L,|
137,L,1
138,M,|\/|
139,M,/\/\
140,M,|'|'|
141,M,(\/)
142,M,/\\
143,M,/|\
144,M,/v\
145,N,|\|
146,N,/\/
147,N,//\\//
148,N,]\[
149,O,0
150,O,()
151,O,[]
152,O,{}
153,P,|2
154,P,|D
155,Q,(
156,Q,)
157,Q,kw
158,R,|2
159,R,|Z
160,R,|?
161,S,5
162,S,$
163,T,+
164,T,']['
165,T,7
166,U,|_|
167,U,(_)
168,U,[_]
169,U,\_/
170,U,\_\
171,U,/_/
172,U,00
173,V,|/
174,V,\|
175,V,\/
176,V,/
177,W,\/\/
178,W,\|\|
179,W,|/|/
180,W,\|/
181,W,\^/
182,W,//
183,X,><
184,X,}{
185,Y,`/
186,Y,'/
187,Y,j
188,Z,2
189,Z,(\)
