Router Brand,Common Default IP Addresses
2Wire,192.168.1.1  192.168.0.1  192.168.1.254  10.0.0.138
3Com,192.168.1.1  192.168.1.10.1
Actiontec,192.168.1.1  192.168.0.1  192.168.2.1  192.168.254.254
Airlink,192.168.1.1  192.168.2.1
Airlive,192.168.2.1
Airties,192.168.2.1
Apple,10.0.1.1
Amped Wireless,192.168.3.1
Asus,192.168.1.1  192.168.2.1  10.10.1.1  10.0.0.1
Aztech,192.168.1.1  192.168.2.1  192.168.1.254  192.168.254.254
Belkin,192.168.1.1  192.168.2.1  10.0.0.2  10.1.1.1
Billion,192.168.1.254  10.0.0.2
Buffalo,192.168.1.1  192.168.11.1
Card King,192.168.0.1
Cisco,192.168.1.1  192.168.0.30  192.168.0.50  10.0.0.1  10.0.0.2
".oneText { background: rgba(52, 89, 138, 0.08); margin-bottom: 40px; }",
Dell,192.168.1.1
D-Link,192.168.1.1  192.168.0.1  192.168.0.10  192.168.0.101  192.168.0.30  192.168.0.50  192.168.1.254  192.168.15.1  192.168.254.254  10.0.0.1  10.0.0.2  10.1.1.1  10.90.90.90
Edimax,192.168.2.1
Eero,192.168.0.1
Eminent,192.168.1.1  192.168.0.1  192.168.8.1
Gigabyte,192.168.1.254
Google,192.168.86.1  192.168.0.1
Hawking,192.168.1.200  192.168.1.254
Huawei,192.168.1.1  192.168.0.1  192.168.3.1  192.168.8.1  192.168.100.1  10.0.0.138
LevelOne,192.168.0.1  192.168.123.254
Linksys,192.168.1.1  192.168.0.1  192.168.1.10  192.168.1.210  192.168.1.254  192.168.1.99  192.168.15.1  192.168.16.1  192.168.2.1
Microsoft,192.168.2.1
Motorola,192.168.0.1  192.168.10.1  192.168.15.1  192.168.20.1  192.168.30.1  192.168.62.1  192.168.100.1  192.168.102.1  192.168.1.254
MSI,192.168.1.254
Netgear,192.168.0.1  192.168.0.227
,
NetComm,192.168.1.1  192.168.10.50  192.168.20.1  10.0.0.138
Netopia,192.168.0.1  192.168.1.254
Planet,192.168.1.1  192.168.0.1  192.168.1.254
Repotec,192.168.1.1  192.168.10.1  192.168.16.1  192.168.123.254
Senao,192.168.0.1
Siemens,192.168.1.1  192.168.0.1  192.168.1.254  192.168.2.1  192.168.254.254  10.0.0.138  10.0.0.2
Sitecom,192.168.0.1  192.168.1.254  192.168.123.254  10.0.0.1
SMC Networks,192.168.1.1  192.168.0.1  192.168.2.1  10.0.0.1  10.1.10.1
Sonicwall,192.168.0.3  192.168.168.168
SpeedTouch,10.0.0.138  192.168.1.254
Synology,192.168.1.1
Sweex,192.168.15.1  192.168.50.1  192.168.55.1  192.168.251.1
Tenda,192.168.1.1  192.168.0.1
Thomson,192.168.0.1  192.168.1.254  192.168.100.1
TP-Link,192.168.1.1  192.168.0.1  192.168.0.254
Trendnet,192.168.1.1  192.168.0.1  192.168.0.30  192.168.0.100  192.168.1.100  192.168.1.254  192.168.10.1  192.168.10.10  192.168.10.100  192.168.2.1  192.168.223.100  200.200.200.5
Ubiquiti,192.168.1.1  192.168.1.20
U.S. Robotics,192.168.1.1  192.168.2.1  192.168.123.254
Zoom,192.168.1.1  192.168.2.1  192.168.4.1  192.168.10.1  192.168.1.254  10.0.0.2  10.0.0.138
ZTE,192.168.1.1  192.168.0.1  192.168.100.100  192.168.1.254  192.168.2.1  192.168.2.254
Zyxel,192.168.1.1  192.168.0.1  192.168.2.1  192.168.4.1  192.168.10.1  192.168.1.254  192.168.254.254  10.0.0.2  10.0.0.138
